rho,agg_lambda,generated,delivered,dropped,drop_prob,avg_queue_delay,avg_e2e_delay,max_queue
0.20,nan,0,0,0,nan,0.00000000,0.00000000,0
0.40,nan,0,0,0,nan,0.00000000,0.00000000,0
0.60,nan,0,0,0,nan,0.00000000,0.00000000,0
0.80,nan,0,0,0,nan,0.00000000,0.00000000,0
0.90,nan,0,0,0,nan,0.00000000,0.00000000,0
1.00,nan,0,0,0,nan,0.00000000,0.00000000,0
1.20,nan,0,0,0,nan,0.00000000,0.00000000,0
