rho,agg_lambda,generated,delivered,dropped,drop_prob,avg_queue_delay,avg_e2e_delay,max_queue
1,1000,5000,4459,541,0.1082,0.0061921,0.0102921,10
1,1000,5000,4468,532,0.1064,0.00636162,0.01046162,10
1,1000,5000,4463,537,0.1074,0.00626546,0.01036546,10
1,1000,5000,4449,551,0.1102,0.00626837,0.01036837,10
